Series ID,Source URL
jww3,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/redundancies/timeseries/jww3/data
jww5,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/redundancies/timeseries/jww5/data
jwv6,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/redundancies/timeseries/jwv6/data
beao,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/redundancies/timeseries/beao/data
jwv9,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/redundancies/timeseries/jwv9/data
beyv,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/redundancies/timeseries/beyv/data
jwv7,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/redundancies/timeseries/jwv7/data
beiu,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/redundancies/timeseries/beiu/data
bejd,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/redundancies/timeseries/bejd/data
jww4,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/redundancies/timeseries/jww4/data
jww2,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/redundancies/timeseries/jww2/data
jwv8,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/redundancies/timeseries/jwv8/data
beir,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/redundancies/timeseries/beir/data
beix,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/redundancies/timeseries/beix/data
beja,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/redundancies/timeseries/beja/data
dpde,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/dpde/data
agng,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/agng/data
jlgk,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/jlgk/data
iadf,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/iadf/data
gezp,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/gezp/data
zmou,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/zmou/data
jlgp,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/jlgp/data
iacu,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/iacu/data
jlhf,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/jlhf/data
zmqh,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/zmqh/data
dpaq,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/dpaq/data
dpdj,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/dpdj/data
geyu,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/geyu/data
zmoq,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/zmoq/data
dpbr,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/dpbr/data
dpad,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/dpad/data
zmpu,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/zmpu/data
zmol,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/zmol/data
bcjj,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/bcjj/data
bcjd,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/bcjd/data
jlgq,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/jlgq/data
dpbp,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/dpbp/data
iadd,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/iadd/data
gezq,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/gezq/data
zsdr,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/zsdr/data
iadh,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/iadh/data
gezj,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/gezj/data
jlhh,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/jlhh/data
iacw,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/iacw/data
agxk,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/agxk/data
dpam,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/dpam/data
gezk,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/gezk/data
dpaa,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/dpaa/data
bckc,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/bckc/data
ikbs,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/ikbs/data
gezw,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/gezw/data
iadb,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/iadb/data
jlhi,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/jlhi/data
dpbq,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/dpbq/data
jlgn,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/jlgn/data
jlgy,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/jlgy/data
jlgd,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/jlgd/data
bcjb,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/bcjb/data
dpbj,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/dpbj/data
gezt,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/gezt/data
zmqk,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/zmqk/data
gezz,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/gezz/data
iacy,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/iacy/data
dpbi,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/dpbi/data
jlhw,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/jlhw/data
zwjx,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/zwjx/data
zmow,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/zmow/data
dpcj,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/dpcj/data
jlhk,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/jlhk/data
zmoz,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/zmoz/data
iaci,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/iaci/data
agmd,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/agmd/data
jlgv,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/jlgv/data
geyy,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/geyy/data
dpbn,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/dpbn/data
gezv,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/gezv/data
zwkd,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/zwkd/data
bckk,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/bckk/data
jlgz,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/jlgz/data
jlhg,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/jlhg/data
zsds,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/zsds/data
vasr,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/vasr/data
dpda,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/dpda/data
zsdp,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/zsdp/data
agnf,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/agnf/data
jlib,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/jlib/data
jlgu,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/jlgu/data
jlhb,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/jlhb/data
zmpw,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/zmpw/data
